,chi2,gain,indexes,noise,noise-pe,ntot,pedestal,pes
86,6.32222672854,16.8174727376,440,1.85247893711,1.88655617834,28886.1307358,0.069742726475,2.42778960388
87,5.72173372382,15.2627925166,1753,1.61266141907,1.6078515882,29121.7679934,-0.159388311324,2.20869350802
88,8.36304463637,16.0774246237,1581,1.32039431224,1.51778525642,28607.3194576,0.0079990625264,1.81017726343
89,6.23654384519,16.0527354131,701,1.73176558076,1.87508979152,29168.9007971,-0.0292967637436,2.76463068765
90,6.90267971768,16.4140867711,418,1.95429727639,1.77636428465,28944.7846019,-0.267057982054,2.6305741568
91,5.83951470582,15.5544628106,1207,1.85395119189,1.65358103275,29064.8519412,0.405068218004,2.21207043148
92,5.90111364546,16.6584090277,747,1.87516374465,1.86400925712,29093.9651337,-0.0985073603374,2.80511902647
93,4.7209008855,15.9759329279,1137,2.28330178819,1.67069283928,29263.9758873,0.183966855507,2.4966105813
94,8.20613707782,17.3826735742,509,1.69843783169,1.69530655849,28544.240502,0.102336954852,1.35598724836
95,3.74211541034,15.487375772,1290,2.54105871242,1.63084323474,29466.6157688,-0.196244176347,2.45785759244
96,5.61353669639,17.3827060218,1388,1.58740514467,1.9377895648,28916.4994296,-0.0842856080697,2.67284666515
97,10.3128855529,16.283715816,1726,1.56660038825,1.82299183402,28282.7108986,0.0395587067402,1.40526687698
98,6.18190694189,16.5441000275,625,1.8862833679,1.76593413768,29153.7097671,-0.0678546255622,2.93958512288
99,6.21607691474,16.2539892286,409,1.91854412699,1.82709968482,29035.6187727,-0.0516510236465,2.46740602216
100,6.67845662007,16.8560719024,1764,1.61803437262,1.86105889991,28863.3917845,0.0974336716497,0.206045852241
101,6.39837676606,16.7938469285,1605,1.62270764334,2.02248325894,28965.9668854,-0.221782348256,2.57032586604
102,7.80176522,15.7113924345,687,1.49458219632,1.81749480682,29071.8096086,-0.208857224859,2.95230886286
103,9.42392913748,17.1764083003,167,1.21504020223,1.75409851385,28382.8229028,0.134965478145,2.35922709316
104,7.41518280325,14.9902609932,923,1.81763875731,1.59788592054,28747.7418625,-0.0187135612042,0.320822617075
105,5.5585599873,15.8882469517,765,1.83237545535,1.80645172593,29221.9755813,0.433390127265,2.65220784891
106,5.43654879691,15.9745475937,1240,1.80252972188,1.53622315046,29062.3253852,-0.176971540488,1.69735377606
107,3.07582466586,16.5310437034,516,3.96294930644,1.90223468707,28728.5393106,3.38462262364,2.70986455142
108,15.0057337793,17.019921412,216,1.37244669992,1.54300691804,27525.6469183,0.0962012545895,0.75764349264
109,5.62954412393,15.1007999848,316,2.1991312313,1.60115879794,29416.0173895,1.7246889941,2.83831188065
110,9.92430671794,15.8177155204,940,1.60878365151,1.64683391391,28373.4544452,0.0445987838113,0.961417253899
111,8.16337172674,15.954356197,926,1.77700502009,1.91172488091,28644.3398079,0.139442143694,0.376902260872
112,11.5028210324,16.6783835525,221,1.3502404432,1.58450613359,28092.0179696,0.271374860285,0.574499478118
113,6.21561820999,15.7306901524,368,2.06079204773,1.78205574982,29142.0735092,-0.0145150234666,2.64765669955
114,6.58446862277,16.7592956494,857,1.8339299093,1.84370535535,28843.4956259,-0.105233900807,1.94469160293
115,3.79118590307,15.4598094103,399,2.63351700451,1.60001215771,29163.3684686,0.00808789673353,2.09595591628
116,4.28075689914,16.2020621848,1238,2.02869937616,1.77391137833,29235.2388334,-0.0639763388501,2.04046920504
117,2.73619598071,12.0,1328,2.12025818498,0.50000000103,29527.6876148,-0.176101235633,0.0010060345208
118,5.48815017975,15.7128693427,386,1.80884887,1.72001030827,29133.9052206,0.0309862493688,2.33278357978
119,2.75696638331,16.8959789127,1306,2.39404054018,1.82396701195,29444.0046966,-0.114056194546,1.53881619009
